wl_um,n,k
5.36,1.72770383275,0.031
5.37,1.72665853659,0.031
5.38,1.72612714777,0.0311271477663
5.39,1.72647079038,0.031470790378
5.4,1.72681443299,0.0318144329897
5.41,1.72731292517,0.032
5.42,1.72799319728,0.032
5.43,1.72867346939,0.032
5.44,1.72864983165,0.0316498316498
5.45,1.72797643098,0.0309764309764
5.46,1.7273030303,0.030303030303
5.47,1.72663333333,0.03
5.48,1.72596666667,0.03
5.49,1.7253,0.03
5.5,1.72518092105,0.03
5.51,1.72550986842,0.03
5.52,1.72583881579,0.03
5.53,1.72566775244,0.03
5.54,1.72501628664,0.03
5.55,1.72436482085,0.03
5.56,1.724,0.03
5.57,1.724,0.03
5.58,1.724,0.03
5.59,1.72389171975,0.0298917197452
5.6,1.72357324841,0.0295732484076
5.61,1.72325477707,0.0292547770701
5.62,1.72293690852,0.0289369085174
5.63,1.7226214511,0.0286214511041
5.64,1.72230599369,0.0283059936909
5.65,1.72196261682,0.0279906542056
5.66,1.7207165109,0.0276791277259
5.67,1.71947040498,0.0273676012461
5.68,1.71822429907,0.0270560747664
5.69,1.71673846154,0.0272523076923
5.7,1.7152,0.02756
5.71,1.71366153846,0.0278676923077
5.72,1.713,0.0283475609756
5.73,1.713,0.0289573170732
5.74,1.713,0.0295670731707
5.75,1.713,0.0300873493976
5.76,1.713,0.0303885542169
5.77,1.713,0.0306897590361
5.78,1.713,0.0309909638554
5.79,1.713,0.0312878338279
5.8,1.713,0.0315845697329
5.81,1.713,0.031881305638
5.82,1.71317647059,0.032
5.83,1.71347058824,0.032
5.84,1.71376470588,0.032
5.85,1.71411627907,0.0319418604651
5.86,1.71469767442,0.0316511627907
5.87,1.71527906977,0.0313604651163
5.88,1.71586046512,0.0310697674419
5.89,1.71512643678,0.0307816091954
5.9,1.71397701149,0.0304942528736
5.91,1.71282758621,0.0302068965517
5.92,1.71207954545,0.0300795454545
5.93,1.71236363636,0.0303636363636
5.94,1.71264772727,0.0306477272727
5.95,1.71293181818,0.0309318181818
5.96,1.713,0.0307865168539
5.97,1.713,0.0305056179775
5.98,1.713,0.0302247191011
5.99,1.71283379501,0.030055401662
6,1.71200277008,0.0303324099723
6.01,1.71117174515,0.0306094182825
6.02,1.71034072022,0.0308864265928
6.03,1.71032328767,0.031
6.04,1.71087123288,0.031
6.05,1.71141917808,0.031
6.06,1.71196712329,0.031
6.07,1.71123783784,0.0302378378378
6.08,1.71042702703,0.029427027027
6.09,1.70961621622,0.0286162162162
6.1,1.70880748663,0.028064171123
6.11,1.70800534759,0.0283315508021
6.12,1.70720320856,0.0285989304813
6.13,1.70640106952,0.0288663101604
6.14,1.706,0.0291322751323
6.15,1.706,0.0293968253968
6.16,1.706,0.0296613756614
6.17,1.706,0.0299259259259
6.18,1.7058125,0.03
6.19,1.70555208333,0.03
6.2,1.70529166667,0.03
6.21,1.70503125,0.03
6.22,1.70431958763,0.03
6.23,1.70354639175,0.03
6.24,1.70277319588,0.03
6.25,1.702,0.03
6.26,1.70174554707,0.0302544529262
6.27,1.70149109415,0.0305089058524
6.28,1.70123664122,0.0307633587786
6.29,1.701,0.031
6.3,1.701,0.031
6.31,1.701,0.031
6.32,1.701,0.031
6.33,1.70095533499,0.031
6.34,1.70045905707,0.031
6.35,1.69996277916,0.031
6.36,1.69946650124,0.031
6.37,1.69904400978,0.0310293398533
6.38,1.69977750611,0.0315183374083
6.39,1.70051100244,0.0320073349633
6.4,1.70124449878,0.0324963325183
6.41,1.70197799511,0.0329853300733
6.42,1.702,0.0322953995157
6.43,1.702,0.0315690072639
6.44,1.702,0.0308426150121
6.45,1.702,0.0301162227603
6.46,1.70139856802,0.03
6.47,1.70068257757,0.03
6.48,1.69996658711,0.03
6.49,1.69925059666,0.03
6.5,1.69838679245,0.03
6.51,1.69744339623,0.03
6.52,1.6965,0.03
6.53,1.69555660377,0.03
6.54,1.695,0.03
6.55,1.695,0.03
6.56,1.695,0.03
6.57,1.695,0.03
6.58,1.69497477064,0.03
6.59,1.69474541284,0.03
6.6,1.69451605505,0.03
6.61,1.69428669725,0.03
6.62,1.69405733945,0.03
6.63,1.69349095023,0.0301696832579
6.64,1.69281221719,0.0303959276018
6.65,1.69213348416,0.0306221719457
6.66,1.69145475113,0.0308484162896
6.67,1.6910738255,0.031
6.68,1.69129753915,0.031
6.69,1.6915212528,0.031
6.7,1.69174496644,0.031
6.71,1.69196868009,0.031
6.72,1.69124229075,0.0308105726872
6.73,1.69036123348,0.03059030837
6.74,1.68948017621,0.0303700440529
6.75,1.68859911894,0.0301497797357
6.76,1.68779084967,0.0300697167756
6.77,1.6871372549,0.0302875816993
6.78,1.68648366013,0.0305054466231
6.79,1.68583006536,0.0307233115468
6.8,1.68517647059,0.0309411764706
6.81,1.68484334764,0.031
6.82,1.68462875536,0.031
6.83,1.68441416309,0.031
6.84,1.68419957082,0.031
6.85,1.68395560254,0.0310147991543
6.86,1.68332135307,0.0312262156448
6.87,1.68268710359,0.0314376321353
6.88,1.68205285412,0.0316490486258
6.89,1.68141860465,0.0318604651163
6.9,1.68114225941,0.0321422594142
6.91,1.68156066946,0.0325606694561
6.92,1.6819790795,0.0329790794979
6.93,1.68239748954,0.0333974895397
6.94,1.68281589958,0.0338158995816
6.95,1.68288477366,0.034
6.96,1.68267901235,0.034
6.97,1.68247325103,0.034
6.98,1.68226748971,0.034
6.99,1.6820617284,0.034
7,1.682,0.034
7.01,1.682,0.034
7.02,1.682,0.034
7.03,1.682,0.034
7.04,1.682,0.034
7.05,1.68122845691,0.034
7.06,1.68022645291,0.034
7.07,1.6792244489,0.034
7.08,1.67822244489,0.034
7.09,1.67722044088,0.034
7.1,1.67730769231,0.0343076923077
7.11,1.67770216963,0.0347021696252
7.12,1.67809664694,0.0350966469428
7.13,1.67849112426,0.0354911242604
7.14,1.67888560158,0.0358856015779
7.15,1.67872319688,0.0355847953216
7.16,1.67833333333,0.035
7.17,1.67794346979,0.0344152046784
7.18,1.67755360624,0.0338304093567
7.19,1.67716374269,0.0332456140351
7.2,1.67655555556,0.0331111111111
7.21,1.67578927203,0.0333026819923
7.22,1.67502298851,0.0334942528736
7.23,1.67425670498,0.0336858237548
7.24,1.67349042146,0.033877394636
7.25,1.67279584121,0.0342041587902
7.26,1.67222873346,0.0347712665406
7.27,1.67166162571,0.0353383742911
7.28,1.67109451796,0.0359054820416
7.29,1.67052741021,0.0364725897921
7.3,1.67001942646,0.0370032377428
7.31,1.67029694727,0.0370494912118
7.32,1.67057446809,0.0370957446809
7.33,1.6708519889,0.0371419981499
7.34,1.67112950971,0.0371882516189
7.35,1.67140703053,0.0372345050879
7.36,1.67168455134,0.0372807585569
7.37,1.67196207216,0.0373270120259
7.38,1.67223959297,0.0373732654949
7.39,1.67251711378,0.0374195189639
7.4,1.6727946346,0.0374657724329
7.41,1.67290596745,0.0373824593128
7.42,1.6725443038,0.0369303797468
7.43,1.67218264014,0.0364783001808
7.44,1.67182097649,0.0360262206148
7.45,1.67145931284,0.0355741410488
7.46,1.67109764919,0.0351220614828
7.47,1.67047950089,0.0351301247772
7.48,1.66976648841,0.0353083778966
7.49,1.66905347594,0.035486631016
7.5,1.66834046346,0.0356648841355
