wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
490.5,1.1376189308869485e-05,1.1376189308869485e-05,0.004085072526989228,0.0043724313292664045,0.0050290621208113635,0.026154948856686303
490.75,1.2496879482828819e-05,1.2496879482828819e-05,0.004049630537135441,0.004439975725346236,0.0049011024813079744,0.02620144711401735
491.0,1.4639759512001524e-05,1.4639759512001524e-05,0.004014666671397497,0.004508190163049653,0.00477497180408663,0.026245820388645567
491.25,1.782513895460645e-05,1.782513895460645e-05,0.003980187914401847,0.004577055617486745,0.004650674507828234,0.026288060585576187
491.5,2.2072797085091153e-05,2.2072797085091153e-05,0.00394620096172963,0.004646552851565298,0.0045282146399141686,0.026328160147814757
491.75,2.740197379332378e-05,2.740197379332378e-05,0.003912712223132324,0.004716662427409001,0.004407595879762967,0.026366112054181986
492.0,3.383136108274066e-05,3.383136108274066e-05,0.003879727825799504,0.004787364717689943,0.0042888215421984805,0.026401909817007536
492.25,4.13790951559729e-05,4.13790951559729e-05,0.003847253617677851,0.004858639916873161,0.004171894580849422,0.02643554747970667
492.5,5.0062749076444735e-05,5.0062749076444735e-05,0.0038152951708365274,0.004930468052365536,0.004056817591577906,0.02646701961424282
492.75,5.989932599468515e-05,5.989932599468515e-05,0.0037838577848778344,0.005002828995567981,0.0039435928159361686,0.02649632131847902
493.0,7.090525292789843e-05,7.090525292789843e-05,0.0037529464903884014,0.0050757024728229965,0.003832222144650922,0.026523448213421418
493.25,8.309637508158126e-05,8.309637508158126e-05,0.003722566052430237,0.005149068076257625,0.0037227071211337714,0.026548396440357648
493.5,9.648795070197733e-05,9.648795070197733e-05,0.003692720974067,0.005222905274513542,0.00361504894501609,0.026571162657894706
493.75,0.00011109464644813964,0.00011109464644813964,0.003663415499924319,0.005297193423364087,0.0035092484757084743,0.026591744038896907
494.0,0.00012693053327255283,0.00012693053327255283,0.0036346536197810514,0.0053719117762129984,0.003405306235982052,0.026610138267327905
494.25,0.00014400908279921958,0.00014400908279921958,0.00360643907218844,0.005447039494471025,0.0033032224155725622,0.02662634353500181
494.5,0.0001623431641882372,0.0001623431641882372,0.0035787753481157703,0.005522555657809326,0.003202996874803709,0.026640358538241236
494.75,0.0001819450414759211,0.0001819450414759211,0.0035516656946192496,0.005598439274283533,0.0031046291482311025,0.02665218247445002
495.0,0.0002028263713796265,0.0002028263713796265,0.0035251131185321163,0.005674669290328509,0.003008118448304069,0.02666181503860197
495.25,0.00022499820155637954,0.00022499820155637954,0.0034991203901735385,0.005751224600619187,0.0029134636690447122,0.026669256419644974
495.5,0.0002484709693046964,0.0002484709693046964,0.0034736900470743715,0.0058280840577955685,0.0028206633897438827,0.026674507296829443
495.75,0.00027325450069883066,0.00027325450069883066,0.0034488243977168955,0.005905226482049514,0.0027297158786715363,0.026677568835957413
496.0,0.0002993580101448159,0.0002993580101448159,0.0034245255252875325,0.0059826306705712,0.0026406190968023724,0.026678442685558718
496.25,0.0003267901003478081,0.0003267901003478081,0.0034007952914385706,0.006060275406851955,0.0025533707015536716,0.02667713097299509
496.5,0.00035555876268023067,0.00035555876268023067,0.003377635340059757,0.0061381394698437316,0.0024679680505362935,0.02667363630049534
496.75,0.00038567137794046156,0.00038567137794046156,0.0033550471010542196,0.00621620164297087,0.002384408205316074,0.026667961741124326
497.0,0.00041713471749126415,0.00041713471749126415,0.003333031794120082,0.006294440722994246,0.0023026879351863436,0.02666011083468633
497.25,0.00044995494476849344,0.00044995494476849344,0.003311590432533461,0.006372835528725657,0.0022228037209486955,0.026650087583566837
497.5,0.00048413761714907435,0.00048413761714907435,0.0032907238269324576,0.006451364909590796,0.0021447517587030703,0.026637896448514355
497.75,0.0005196876881688024,0.0005196876881688024,0.0032704325890998585,0.006530007754039329,0.0020685279636446056,0.026623542344365234
498.0,0.0005566095100794378,0.0005566095100794378,0.003250717135742543,0.006608742997802801,0.0019941279738669784,0.02660703063571105
498.25,0.0005949068367356926,0.0005949068367356926,0.003231577692266401,0.006687549631995881,0.0019215471541714638,0.026588367132514296
498.5,0.0006345828268017187,0.0006345828268017187,0.0032130142965450985,0.006766406711063246,0.0018507805998804025,0.026567558085672432
498.75,0.0006756400472676593,0.0006756400472676593,0.0031950268026802423,0.006845293360569536,0.0017818231406543455,0.026544610182531528
499.0,0.0007180804772665598,0.0007180804772665598,0.003177614884752914,0.00692418878483276,0.0017146693443121778,0.02651953054235306
499.25,0.0007619055121820149,0.0007619055121820149,0.0031607780405633877,0.007003072274398982,0.0016493135206527493,0.026492326711735764
